asset_class,zone,location,capacity_cfs,total_hp,avg_dynamic_lift_ft,fy2025_volume_pumped_af,total_power_cost_fy2025,avg_cost_per_af
booster_pump,A South,4706 Naniloa Dr.,12,300,,0,1574,0
booster_pump,B East,110 E 11400 S.,28,1200,320,1,13143,45
booster_pump,B North,4500 S 4800 W.,64,1625,200,8985,218121,24
booster_pump,B North,5820 S 3800 W.,24,650,180,4186,98624,24
booster_pump,B North,6200 S. 3200 W.,40,1500,180,9305,202454,22
booster_pump,B North,3600 W. 10200 S.,44,2050,350,4574,313906,69
booster_pump,B North,3145 W. 11400 S.,42,900,110,5856,138923,24
booster_pump,C East,10730 S. 1300 E.,22,400,100,0,2228,0
booster_pump,C South,15305 S. 3200 W.,8,400,280,0,0,0
booster_pump,C South,3200 W. 11800 S.,59,4300,495,12299,768421,62
booster_pump,C South,5700 W. 10200 S.,23,750,240,3396,89951,26
booster_pump,C South,13400 S. 3300 W.,40,2400,495,5978,197037,33
booster_pump,D South,6924 Old Bing. Hwy,26,800,280,4862,197352,41
