asset_class,diameter_in,length_ft,miles,valve_count,pct_of_system
pipe,<2,21104,4.0,34,1.13
pipe,2,5114,0.97,133,0.27
pipe,3-4,18786,3.6,619,1.00
pipe,6,253556,48.0,2440,13.6
pipe,8,303335,57.5,1246,16.2
pipe,10,74061,14.0,219,3.96
pipe,12,98353,18.6,388,5.26
pipe,14,23061,4.4,54,1.23
pipe,15-16,140734,26.7,161,7.52
pipe,18,113712,21.5,57,6.08
pipe,20-21,73662,13.9,53,3.94
pipe,24,142738,27.0,136,7.63
pipe,27,20019,3.8,1,1.07
pipe,28,254,0.05,0,0.01
pipe,30,92133,17.5,85,4.93
pipe,33,79759,15.1,5,4.26
pipe,36,50931,9.65,29,2.72
pipe,42,22204,4.21,20,1.19
pipe,48,88803,16.8,37,4.75
pipe,54,294,0.06,0,0.02
pipe,60,14882,2.82,5,0.80
pipe,66,63607,12.1,13,3.40
pipe,69,829,0.16,0,0.04
pipe,72,83269,15.8,6,4.45
pipe,78,80042,15.1,10,4.28
pipe,84,404,0.08,1,0.02
pipe,90,2704,0.51,3,0.14
