asset_class,location,design_capacity_cfs,well_setting_level_ft,fy2025_production_af,fy2024_production_af,fy2023_production_af,total_power_cost_fy2025,avg_cost_per_af
well,275 E. Carol Way,3,460,0,0,0,2796,0
well,1028 E. College Dr.,4,400,0,0,0,2863,0
well,1155 E. Webster Dr.,7,465,0,0,0,1687,0
well,1159 E. 4500 S.,2,282,16,37,386,6580,178
well,1200 E. 9400 S.,2,480,0,0,0,1051,0
well,1307 E. 6860 S.,5,322,0,0,889,333,0
well,1364 E. 6400 S.,6,265,124,1013,0,58378,58
well,1500 E. 9400 S.,10,640,0,0,0,1742,0
well,1526 E. 8600 S.,9,580,0,0,0,2309,0
well,1530 W. 14600 S.,4,150,57,442,0,53309,121
well,1600 E. Siesta Dr.,10,422,91,1383,1770,133793,97
well,1784 E. Creek Rd.,7,700,77,1133,0,128901,114
well,1787 E. Creek Rd.,5,177,0,0,0,3808,0
well,1850 E. Newbury Dr.,9,740,74,844,0,98168,116
well,2090 E. 8600 S.,2,520,0,0,0,2561,0
well,2300 E. 9800 S,4,760,0,0,0,3281,0
well,2400 E. Creek Rd.,3,440,34,151,25,11457,76
well,4670 S. 1590 E.,4,450,155,733,332,40608,55
well,7700 S. 700 E.,6,375,0,0,0,851,0
well,7750 S. 1000 E.,3,401,0,0,0,123,0
well,7751 S. 1300 E,4,402,0,0,0,880,0
well,8148 S. 1330 E.,7,505,0,0,0,4621,0
well,8201 S. 700 E.,2,444,0,0,0,349,0
well,8518 S. 960 E.,6,460,90,932,280,38538,41
well,8578 S. Monitor Dr.,8,530,0,0,403,2080,0
well,8651 S. 1300 E.,4,550,0,0,0,359,0
well,9003 S. Quail Hollow,2,800,90,360,176,41835,116
well,9390 S. Solena Way,5,635,0,0,0,507,0
